ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,ValidPix_Before,ValidPix_After,FAPAR_Before,FAPAR_After,FAPAR_Loss,FAPAR_Loss_Pct,Status,QA_Flag
Chittagong,Bandarban,Ruma,BD200391,3020,3020,0.4618,0.01,0.4518,97.83,Loss,OK
Chittagong,Bandarban,Rowangchhari,BD200389,2118,2118,0.4608,0.01,0.4508,97.83,Loss,OK
Chittagong,Rangamati,Belai Chhari,BD208429,4518,4596,0.4576,0.0099,0.4477,97.84,Loss,OK
Chittagong,Bandarban,Alikadam,BD200304,3423,3423,0.4564,0.01,0.4464,97.81,Loss,OK
Chittagong,Bandarban,Thanchi,BD200395,4723,4723,0.456,0.01,0.446,97.81,Loss,OK
Chittagong,Rangamati,Jurai Chhari,BD208447,1866,1923,0.4556,0.0099,0.4457,97.83,Loss,OK
Chittagong,Khagrachhari,Lakshmichhari,BD204661,969,969,0.4542,0.01,0.4442,97.8,Loss,OK
Chittagong,Rangamati,Kawkhali (Betbunia),BD208425,1039,1039,0.451,0.01,0.441,97.78,Loss,OK
Chittagong,Rangamati,Barkal,BD208421,2557,2886,0.447,0.0094,0.4376,97.9,Loss,OK
Chittagong,Bandarban,Bandarban Sadar,BD200314,1953,1953,0.4467,0.01,0.4367,97.76,Loss,OK
Chittagong,Rangamati,Rangamati Sadar,BD208487,1804,2586,0.4445,0.0085,0.436,98.09,Loss,OK
Chittagong,Rangamati,Kaptai,BD208436,929,977,0.4449,0.0098,0.4351,97.8,Loss,OK
Chittagong,Rangamati,Baghai Chhari,BD208407,6977,7160,0.4442,0.0099,0.4343,97.77,Loss,OK
Chittagong,Rangamati,Rajasthali,BD208478,653,653,0.4436,0.01,0.4336,97.75,Loss,OK
Chittagong,Bandarban,Naikhongchhari,BD200373,2076,2076,0.443,0.01,0.433,97.74,Loss,OK
Chittagong,Khagrachhari,Dighinala,BD204643,3969,3970,0.4402,0.01,0.4302,97.73,Loss,OK
Chittagong,Bandarban,Lama,BD200351,2824,2824,0.4352,0.01,0.4252,97.7,Loss,OK
Chittagong,Rangamati,Naniarchar,BD208475,1247,1424,0.4343,0.0094,0.4249,97.84,Loss,OK
Chittagong,Rangamati,Langadu,BD208458,1574,2182,0.4282,0.0086,0.4196,97.99,Loss,OK
Khulna,Bagerhat,Mongla,BD400158,3480,5605,0.4264,0.0081,0.4183,98.1,Loss,OK
Chittagong,Khagrachhari,Panchhari,BD204677,1693,1693,0.4282,0.01,0.4182,97.66,Loss,OK
Chittagong,Khagrachhari,Ramgarh,BD204680,1090,1090,0.4241,0.01,0.4141,97.64,Loss,OK
Chittagong,Khagrachhari,Mahalchhari,BD204665,1002,1033,0.4236,0.0098,0.4138,97.69,Loss,OK
Khulna,Bagerhat,Sarankhola,BD400177,2386,2979,0.4219,0.009,0.4129,97.87,Loss,OK
Chittagong,Khagrachhari,Matiranga,BD204670,2041,2041,0.4179,0.01,0.4079,97.61,Loss,OK
Chittagong,Khagrachhari,Khagrachhari Sadar,BD204649,1217,1227,0.4178,0.01,0.4078,97.61,Loss,OK
Khulna,Khulna,Dacope,BD404717,2060,3451,0.4087,0.008,0.4007,98.04,Loss,OK
Chittagong,Cox's Bazar,Teknaf,BD202290,1053,1378,0.4063,0.0088,0.3975,97.83,Loss,OK
Chittagong,Khagrachhari,Manikchhari,BD204667,596,596,0.4061,0.01,0.3961,97.54,Loss,OK
Barisal,Bhola,Daulatkhan,BD100929,378,483,0.4014,0.0089,0.3925,97.78,Loss,OK
Barisal,Barguna,Bamna,BD100419,357,443,0.4006,0.009,0.3916,97.75,Loss,OK
Sylhet,Maulvibazar,Kamalganj,BD605856,1866,1866,0.3993,0.01,0.3893,97.5,Loss,OK
Khulna,Khulna,Koyra,BD404753,2026,5536,0.3958,0.0068,0.389,98.28,Loss,OK
Barisal,Jhalokati,Kanthalia,BD104243,655,699,0.3986,0.0097,0.3889,97.57,Loss,OK
Barisal,Jhalokati,Rajapur,BD104284,662,698,0.3978,0.0097,0.3881,97.56,Loss,OK
Barisal,Pirojpur,Zianagar,BD107990,357,442,0.3949,0.009,0.3859,97.72,Loss,OK
Chittagong,Chittagong,Boalkhali,BD201512,551,575,0.3957,0.0098,0.3859,97.52,Loss,OK
Chittagong,Chittagong,Chandanaish,BD201518,882,889,0.3952,0.01,0.3852,97.47,Loss,OK
Chittagong,Cox's Bazar,Ramu,BD202266,1678,1703,0.3938,0.0099,0.3839,97.49,Loss,OK
Chittagong,Lakshmipur,Roypur,BD205158,813,866,0.3932,0.0097,0.3835,97.53,Loss,OK
Barisal,Pirojpur,Mathbaria,BD107958,1404,1539,0.3923,0.0096,0.3827,97.55,Loss,OK
Barisal,Pirojpur,Bhandaria,BD107914,623,719,0.3906,0.0093,0.3813,97.62,Loss,OK
Barisal,Barguna,Betagi,BD100447,641,733,0.3906,0.0094,0.3812,97.59,Loss,OK
Chittagong,Chittagong,Fatikchhari,BD201533,3333,3340,0.3912,0.01,0.3812,97.44,Loss,OK
Sylhet,Habiganj,Chunarughat,BD603626,2121,2121,0.3905,0.01,0.3805,97.44,Loss,OK
Barisal,Bhola,Lalmohan,BD100954,1072,1187,0.3896,0.0095,0.3801,97.56,Loss,OK
Barisal,Bhola,Burhanuddin,BD100921,816,995,0.3889,0.0092,0.3797,97.63,Loss,OK
Barisal,Barguna,Barguna Sadar,BD100428,1334,1430,0.3893,0.0097,0.3796,97.51,Loss,OK
Chittagong,Chittagong,Sitakunda,BD201586,1020,1166,0.3886,0.0094,0.3792,97.58,Loss,OK
